Year,Quarter,Tons
1965,1,6172
1965,2,6709
1965,3,6633
1965,4,6660
1966,1,6786
1966,2,6800
1966,3,6730
1966,4,6765
1967,1,6720
1967,2,7133
1967,3,6946
1967,4,7095
1968,1,7047
1968,2,6757
1968,3,6915
1968,4,6921
1969,1,7064
1969,2,7206
1969,3,7190
1969,4,7402
1970,1,7819
1970,2,7300
1970,3,7105
1970,4,7259
1971,1,7001
1971,2,7475
1971,3,6840
1971,4,7061
1972,1,5845
1972,2,7529
1972,3,7819
1972,4,6943
1973,1,5714
1973,2,6556
1973,3,7045
1973,4,5947
1974,1,5463
1974,2,6127
1974,3,5540
1974,4,4235
1975,1,3324
1975,2,4793
1975,3,5906
1975,4,5834
1976,1,5240
1976,2,5458
1976,3,5505
1976,4,5002
1977,1,3999
1977,2,4826
1977,3,5318
1977,4,4681
1978,1,4442
1978,2,5305
1978,3,5466
1978,4,4995
1979,1,4573
1979,2,5081
1979,3,5696
1979,4,5079
1980,1,4373
1980,2,4986
1980,3,5341
1980,4,4800
1981,1,4161
1981,2,5007
1981,3,5464
1981,4,5127
1982,1,4240
1982,2,5338
1982,3,5129
1982,4,4437
1983,1,3642
1983,2,4602
1983,3,5524
1983,4,4895
1984,1,4380
1984,2,5186
1984,3,6080
1984,4,5588
1985,1,5009
1985,2,5663
1985,3,6540
1985,4,6262
1986,1,5169
1986,2,5819
1986,3,6339
1986,4,5981
1987,1,4766
1987,2,5976
1987,3,6590
1987,4,5590
1988,1,5135
1988,2,5762
1988,3,6077
1988,4,5882
1989,1,4247
1989,2,5264
1989,3,5146
1989,4,4868
1990,1,4329
1990,2,4869
1990,3,5127
1990,4,4868
1991,1,3827
1991,2,4987
1991,3,5222
1991,4,4928
1992,1,3930
1992,2,4469
1992,3,4954
1992,4,4752
1993,1,3888
1993,2,4588
1993,3,5309
1993,4,4732
1994,1,4837
1994,2,6135
1994,3,6396
