Iris,Species,Sepal Length,Sepal Width,Petal Length,Petal Width
1,Setosa,5.1,3.5,1.4,0.2
2,Setosa,4.9,3,1.4,0.2
3,Setosa,4.7,3.2,1.3,0.2
4,Setosa,4.6,3.1,1.5,0.2
5,Setosa,5,3.6,1.4,0.2
6,Setosa,5.4,3.9,1.7,0.4
7,Setosa,4.6,3.4,1.4,0.3
8,Setosa,5,3.4,1.5,0.2
9,Setosa,4.4,2.9,1.4,0.2
10,Setosa,4.9,3.1,1.5,0.1
11,Setosa,5.4,3.7,1.5,0.2
12,Setosa,4.8,3.4,1.6,0.2
13,Setosa,4.8,3,1.4,0.1
14,Setosa,4.3,3,1.1,0.1
15,Setosa,5.8,4,1.2,0.2
16,Setosa,5.7,4.4,1.5,0.4
17,Setosa,5.4,3.9,1.3,0.4
18,Setosa,5.1,3.5,1.4,0.3
19,Setosa,5.7,3.8,1.7,0.3
20,Setosa,5.1,3.8,1.5,0.3
21,Setosa,5.4,3.4,1.7,0.2
22,Setosa,5.1,3.7,1.5,0.4
23,Setosa,4.6,3.6,1,0.2
24,Setosa,5.1,3.3,1.7,0.5
25,Setosa,4.8,3.4,1.9,0.2
26,Setosa,5,3,1.6,0.2
27,Setosa,5,3.4,1.6,0.4
28,Setosa,5.2,3.5,1.5,0.2
29,Setosa,5.2,3.4,1.4,0.2
30,Setosa,4.7,3.2,1.6,0.2
31,Setosa,4.8,3.1,1.6,0.2
32,Setosa,5.4,3.4,1.5,0.4
33,Setosa,5.2,4.1,1.5,0.1
34,Setosa,5.5,4.2,1.4,0.2
35,Setosa,4.9,3.1,1.5,0.2
36,Setosa,5,3.2,1.2,0.2
37,Setosa,5.5,3.5,1.3,0.2
38,Setosa,4.9,3.6,1.4,0.1
39,Setosa,4.4,3,1.3,0.2
40,Setosa,5.1,3.4,1.5,0.2
41,Setosa,5,3.5,1.3,0.3
42,Setosa,4.5,2.3,1.3,0.3
43,Setosa,4.4,3.2,1.3,0.2
44,Setosa,5,3.5,1.6,0.6
45,Setosa,5.1,3.8,1.9,0.4
46,Setosa,4.8,3,1.4,0.3
47,Setosa,5.1,3.8,1.6,0.2
48,Setosa,4.6,3.2,1.4,0.2
49,Setosa,5.3,3.7,1.5,0.2
50,Setosa,5,3.3,1.4,0.2
1,Versicolor,7,3.2,4.7,1.4
2,Versicolor,6.4,3.2,4.5,1.5
3,Versicolor,6.9,3.1,4.9,1.5
4,Versicolor,5.5,2.3,4,1.3
5,Versicolor,6.5,2.8,4.6,1.5
6,Versicolor,5.7,2.8,4.5,1.3
7,Versicolor,6.3,3.3,4.7,1.6
8,Versicolor,4.9,2.4,3.3,1
9,Versicolor,6.6,2.9,4.6,1.3
10,Versicolor,5.2,2.7,3.9,1.4
11,Versicolor,5,2,3.5,1
12,Versicolor,5.9,3,4.2,1.5
13,Versicolor,6,2.2,4,1
14,Versicolor,6.1,2.9,4.7,1.4
15,Versicolor,5.6,2.9,3.6,1.3
16,Versicolor,6.7,3.1,4.4,1.4
17,Versicolor,5.6,3,4.5,1.5
18,Versicolor,5.8,2.7,4.1,1
19,Versicolor,6.2,2.2,4.5,1.5
20,Versicolor,5.6,2.5,3.9,1.1
21,Versicolor,5.9,3.2,4.8,1.8
22,Versicolor,6.1,2.8,4,1.3
23,Versicolor,6.3,2.5,4.9,1.5
24,Versicolor,6.1,2.8,4.7,1.2
25,Versicolor,6.4,2.9,4.3,1.3
26,Versicolor,6.6,3,4.4,1.4
27,Versicolor,6.8,2.8,4.8,1.4
28,Versicolor,6.7,3,5,1.7
29,Versicolor,6,2.9,4.5,1.5
30,Versicolor,5.7,2.6,3.5,1
31,Versicolor,5.5,2.4,3.8,1.1
32,Versicolor,5.5,2.4,3.7,1
33,Versicolor,5.8,2.7,3.9,1.2
34,Versicolor,6,2.7,5.1,1.6
35,Versicolor,5.4,3,4.5,1.5
36,Versicolor,6,3.4,4.5,1.6
37,Versicolor,6.7,3.1,4.7,1.5
38,Versicolor,6.3,2.3,4.4,1.3
39,Versicolor,5.6,3,4.1,1.3
40,Versicolor,5.5,2.5,4,1.3
