Mammal,Genus,Vore,Order,Conservation Status,Total Sleep (Hrs),REM Sleep (Hrs),Sleep Cycle (Hrs),Awake (Hrs),Brain Weight (Kg),Body Weight (Kg)
Arctic fox,Vulpes,Carnivore,Carnivora,NA,12.5,NA,NA,11.5,0.0445,3.38
Bottle-nosed dolphin,Tursiops,Carnivore,Cetacea,NA,5.2,NA,NA,18.8,NA,173.33
Caspian seal,Phoca,Carnivore,Carnivora,VU,3.5,0.4,NA,20.5,NA,86
Cheetah,Acinonyx,Carnivore,Carnivora,LC,12.1,NA,NA,11.9,NA,50
Common porpoise,Phocoena,Carnivore,Cetacea,VU,5.6,NA,NA,18.45,NA,53.18
Dog,Canis,Carnivore,Carnivora,Domesticated,10.1,2.9,0.333333333,13.9,0.07,14
Domestic cat,Felis,Carnivore,Carnivora,Domesticated,12.5,3.2,0.416666667,11.5,0.0256,3.3
Genet,Genetta,Carnivore,Carnivora,NA,6.3,1.3,NA,17.7,0.0175,2
Gray seal,Haliochoerus,Carnivore,Carnivora,LC,6.2,1.5,NA,17.8,0.325,85
Jaguar,Panthera,Carnivore,Carnivora,NT,10.4,NA,NA,13.6,0.157,100
Lion,Panthera,Carnivore,Carnivora,VU,13.5,NA,NA,10.5,NA,161.499
Long-nosed armadillo,Dasypus,Carnivore,Cingulata,LC,17.4,3.1,0.383333333,6.6,0.0108,3.5
Northern fur seal,Callorhinus,Carnivore,Carnivora,VU,8.7,1.4,0.383333333,15.3,NA,20.49
Northern grasshopper mouse,Onychomys,Carnivore,Rodentia,LC,14.5,NA,NA,9.5,NA,0.028
Pilot whale,Globicephalus,Carnivore,Cetacea,CD,2.7,0.1,NA,21.35,NA,800
Red fox,Vulpes,Carnivore,Carnivora,NA,9.8,2.4,0.35,14.2,0.0504,4.23
Slow loris,Nyctibeus,Carnivore,Primates,NA,11,NA,NA,13,0.0125,1.4
Thick-tailed opposum,Lutreolina,Carnivore,Didelphimorphia,LC,19.4,6.6,NA,4.6,NA,0.37
Tiger,Panthera,Carnivore,Carnivora,EN,15.8,NA,NA,8.2,NA,162.564
African elephant,Loxodonta,Herbivore,Proboscidea,VU,3.3,NA,NA,20.7,5.712,6654
Arctic ground squirrel,Spermophilus,Herbivore,Rodentia,LC,16.6,NA,NA,7.4,0.0057,0.92
Asian elephant,Elephas,Herbivore,Proboscidea,EN,3.9,NA,NA,20.1,4.603,2547
Brazilian tapir,Tapirus,Herbivore,Perissodactyla,VU,4.4,1,0.9,19.6,0.169,207.501
Chinchilla,Chinchilla,Herbivore,Rodentia,Domesticated,12.5,1.5,0.116666667,11.5,0.0064,0.42
Cotton rat,Sigmodon,Herbivore,Rodentia,NA,11.3,1.1,0.15,12.7,0.00118,0.148
Cow,Bos,Herbivore,Artiodactyla,Domesticated,4,0.7,0.666666667,20,0.423,600
Degu,Octodon,Herbivore,Rodentia,LC,7.7,0.9,NA,16.3,NA,0.21
Donkey,Equus,Herbivore,Perissodactyla,Domesticated,3.1,0.4,NA,20.9,0.419,187
Eastern american chipmunk,Tamias,Herbivore,Rodentia,NA,15.8,NA,NA,8.2,NA,0.112
Giraffe,Giraffa,Herbivore,Artiodactyla,CD,1.9,0.4,NA,22.1,NA,899.995
Goat,Capri,Herbivore,Artiodactyla,LC,5.3,0.6,NA,18.7,0.115,33.5
Golden-mantled ground squirrel,Spermophilus,Herbivore,Rodentia,LC,15.9,3,NA,8.1,NA,0.205
Golden hamster,Mesocricetus,Herbivore,Rodentia,EN,14.3,3.1,0.2,9.7,0.001,0.12
Gray hyrax,Heterohyrax,Herbivore,Hyracoidea,LC,6.3,0.6,NA,17.7,0.01227,2.625
Guinea pig,Cavis,Herbivore,Rodentia,Domesticated,9.4,0.8,0.216666667,14.6,0.0055,0.728
Horse,Equus,Herbivore,Perissodactyla,Domesticated,2.9,0.6,1,21.1,0.655,521
House mouse,Mus,Herbivore,Rodentia,NT,12.5,1.4,0.183333333,11.5,4e-4,0.022
Laboratory rat,Rattus,Herbivore,Rodentia,LC,13,2.4,0.183333333,11,0.0019,0.32
Mongolian gerbil,Meriones,Herbivore,Rodentia,LC,14.2,1.9,NA,9.8,NA,0.053
Mongoose lemur,Lemur,Herbivore,Primates,VU,9.5,0.9,NA,14.5,NA,1.67
Mountain beaver,Aplodontia,Herbivore,Rodentia,NT,14.4,2.4,NA,9.6,NA,1.35
Potoroo,Potorous,Herbivore,Diprotodontia,NA,11.1,1.5,NA,12.9,NA,1.1
