Chick,Feed Group,Grams
1,Horsebean,179
2,Horsebean,160
3,Horsebean,136
4,Horsebean,227
5,Horsebean,217
6,Horsebean,168
7,Horsebean,108
8,Horsebean,124
9,Horsebean,143
10,Horsebean,140
11,Linseed,309
12,Linseed,229
13,Linseed,181
14,Linseed,141
15,Linseed,260
16,Linseed,203
17,Linseed,148
18,Linseed,169
19,Linseed,213
20,Linseed,257
21,Linseed,244
22,Linseed,271
23,Soybean,243
24,Soybean,230
25,Soybean,248
26,Soybean,327
27,Soybean,329
28,Soybean,250
29,Soybean,193
30,Soybean,271
31,Soybean,316
32,Soybean,267
33,Soybean,199
34,Soybean,171
35,Soybean,158
36,Soybean,248
37,Sunflower,423
38,Sunflower,340
39,Sunflower,392
40,Sunflower,339
41,Sunflower,341
42,Sunflower,226
43,Sunflower,320
44,Sunflower,295
45,Sunflower,334
46,Sunflower,322
47,Sunflower,297
48,Sunflower,318
49,Meatmeal,325
50,Meatmeal,257
51,Meatmeal,303
52,Meatmeal,315
53,Meatmeal,380
54,Meatmeal,153
55,Meatmeal,263
56,Meatmeal,242
57,Meatmeal,206
58,Meatmeal,344
59,Meatmeal,258
60,Casein,368
61,Casein,390
62,Casein,379
63,Casein,260
64,Casein,404
65,Casein,318
66,Casein,352
67,Casein,359
68,Casein,216
69,Casein,222
70,Casein,283
71,Casein,332
