Date,Year,Month,USD
1985-01-01,1985,January,306.25
1985-01-02,1985,January,299.5
1985-01-03,1985,January,303.45
1985-01-04,1985,January,296.75
1985-01-05,1985,January,304.4
1985-01-06,1985,January,298.35
1985-01-07,1985,January,304
1985-01-08,1985,January,304
1985-01-09,1985,January,301.25
1985-01-10,1985,January,302.5
1985-01-11,1985,January,302.45
1985-01-12,1985,January,305.8
1985-01-13,1985,January,306.9
1985-01-14,1985,January,307
1985-01-15,1985,January,306.85
1985-01-16,1985,January,302.15
1985-01-17,1985,January,301.9
1985-01-18,1985,January,299.25
1985-01-19,1985,January,298.6
1985-01-20,1985,January,303.5
1985-01-21,1985,January,303
1985-01-22,1985,January,304.9
1985-01-23,1985,January,304.8
1985-01-24,1985,January,301.25
1985-01-25,1985,January,301.75
1985-01-26,1985,January,303.45
1985-01-27,1985,January,302.5
1985-01-28,1985,January,300.6
1985-01-29,1985,January,300
1985-01-30,1985,January,303.45
1985-01-31,1985,January,302.8
1985-02-01,1985,February,303.4
1985-02-02,1985,February,304.9
1985-02-03,1985,February,304.95
1985-02-04,1985,February,302.9
1985-02-05,1985,February,302.85
1985-02-06,1985,February,302
1985-02-07,1985,February,298.8
1985-02-08,1985,February,290
1985-02-09,1985,February,285
1985-02-10,1985,February,290.75
1985-02-11,1985,February,290.5
1985-02-12,1985,February,288.1
1985-02-13,1985,February,288.3
1985-02-14,1985,February,288.85
1985-02-15,1985,February,286.7
1985-02-16,1985,February,289.3
1985-02-17,1985,February,289
1985-02-18,1985,February,290.25
1985-02-19,1985,February,288.75
1985-02-20,1985,February,290.1
1985-02-21,1985,February,290.25
1985-02-22,1985,February,289.9
1985-02-23,1985,February,293.7
1985-02-24,1985,February,307.25
1985-02-25,1985,February,333.25
1985-02-26,1985,February,312.5
1985-02-27,1985,February,320.75
1985-02-28,1985,February,315.9
1985-03-01,1985,March,316
1985-03-02,1985,March,329.9
1985-03-03,1985,March,328.75
1985-03-04,1985,March,329.8
1985-03-05,1985,March,324.65
1985-03-06,1985,March,317
1985-03-07,1985,March,321.1
1985-03-08,1985,March,317
1985-03-09,1985,March,NA
1985-03-10,1985,March,NA
1985-03-11,1985,March,323.1
1985-03-12,1985,March,323.3
1985-03-13,1985,March,329
1985-03-14,1985,March,331.25
1985-03-15,1985,March,330.3
1985-03-16,1985,March,331.5
1985-03-17,1985,March,327
1985-03-18,1985,March,325.5
1985-03-19,1985,March,327.7
1985-03-20,1985,March,328.1
1985-03-21,1985,March,326
1985-03-22,1985,March,322.6
1985-03-23,1985,March,322.4
1985-03-24,1985,March,322.5
1985-03-25,1985,March,323
1985-03-26,1985,March,324.65
1985-03-27,1985,March,315.6
1985-03-28,1985,March,314.25
1985-03-29,1985,March,313.7
1985-03-30,1985,March,NA
1985-03-31,1985,March,311.25
1985-04-01,1985,April,313.35
1985-04-02,1985,April,314.5
1985-04-03,1985,April,313.55
1985-04-04,1985,April,316.75
1985-04-05,1985,April,324.75
1985-04-06,1985,April,322.85
1985-04-07,1985,April,320.4
1985-04-08,1985,April,319.8
1985-04-09,1985,April,323.65
1985-04-10,1985,April,316.5
1985-04-11,1985,April,317.4
1985-04-12,1985,April,316.4
1985-04-13,1985,April,316.35
1985-04-14,1985,April,NA
1985-04-15,1985,April,313.9
1985-04-16,1985,April,311.2
1985-04-17,1985,April,315
1985-04-18,1985,April,313.15
1985-04-19,1985,April,316.85
1985-04-20,1985,April,316.25
1985-04-21,1985,April,314.75
1985-04-22,1985,April,314.9
1985-04-23,1985,April,315
1985-04-24,1985,April,310.75
1985-04-25,1985,April,313.25
1985-04-26,1985,April,313.75
1985-04-27,1985,April,314.1
1985-04-28,1985,April,315.75
1985-04-29,1985,April,317.25
1985-04-30,1985,April,321.65
1985-05-01,1985,May,325.2
1985-05-02,1985,May,322
1985-05-03,1985,May,315.25
1985-05-04,1985,May,314.1
1985-05-05,1985,May,315.9
1985-05-06,1985,May,316.5
1985-05-07,1985,May,316.25
1985-05-08,1985,May,316.5
1985-05-09,1985,May,313.35
1985-05-10,1985,May,310.85
1985-05-11,1985,May,310.4
1985-05-12,1985,May,310.7
1985-05-13,1985,May,310.9
1985-05-14,1985,May,312.2
1985-05-15,1985,May,314.8
1985-05-16,1985,May,314.7
