Year,City,State,City & State,Month,Date,Total Sales,Total Value,Median Price,Total Listings,Months to Sell All
2000,Abilene,Texas,"Abilene, TX",January,2000-01-01,72,5380000,71400,701,6.3
2000,Abilene,Texas,"Abilene, TX",February,2000-02-01,98,6505000,58700,746,6.6
2000,Abilene,Texas,"Abilene, TX",March,2000-03-01,130,9285000,58100,784,6.8
2000,Abilene,Texas,"Abilene, TX",April,2000-04-01,98,9730000,68600,785,6.9
2000,Abilene,Texas,"Abilene, TX",May,2000-05-01,141,10590000,67300,794,6.8
2000,Abilene,Texas,"Abilene, TX",June,2000-06-01,156,13910000,66900,780,6.6
2000,Abilene,Texas,"Abilene, TX",July,2000-07-01,152,12635000,73500,742,6.2
2000,Abilene,Texas,"Abilene, TX",August,2000-08-01,131,10710000,75000,765,6.4
2000,Abilene,Texas,"Abilene, TX",September,2000-09-01,104,7615000,64500,771,6.5
2000,Abilene,Texas,"Abilene, TX",October,2000-10-01,101,7040000,59300,764,6.6
2000,Abilene,Texas,"Abilene, TX",November,2000-11-01,100,7890000,70900,721,6.2
2000,Abilene,Texas,"Abilene, TX",December,2000-12-01,92,7285000,65000,658,5.7
2000,Amarillo,Texas,"Amarillo, TX",January,2000-01-01,102,8860000,80000,972,5.3
2000,Amarillo,Texas,"Amarillo, TX",February,2000-02-01,147,13875000,78300,937,5.1
2000,Amarillo,Texas,"Amarillo, TX",March,2000-03-01,201,17930000,74800,995,5.5
2000,Amarillo,Texas,"Amarillo, TX",April,2000-04-01,176,16955000,87700,985,5.5
2000,Amarillo,Texas,"Amarillo, TX",May,2000-05-01,198,19420000,81100,1020,5.6
2000,Amarillo,Texas,"Amarillo, TX",June,2000-06-01,206,20035000,84100,1055,5.9
2000,Amarillo,Texas,"Amarillo, TX",July,2000-07-01,190,20430000,94300,1193,6.8
2000,Amarillo,Texas,"Amarillo, TX",August,2000-08-01,242,25995000,95300,1208,6.6
2000,Amarillo,Texas,"Amarillo, TX",September,2000-09-01,158,16000000,91000,1248,6.9
2000,Amarillo,Texas,"Amarillo, TX",October,2000-10-01,165,16810000,89000,1191,6.7
2000,Amarillo,Texas,"Amarillo, TX",November,2000-11-01,133,13955000,87300,1174,6.7
2000,Amarillo,Texas,"Amarillo, TX",December,2000-12-01,158,15800000,88300,1092,6.3
2000,Arlington,Texas,"Arlington, TX",January,2000-01-01,241,26220683,94000,1417,3.7
2000,Arlington,Texas,"Arlington, TX",February,2000-02-01,337,36618555,94300,1402,3.6
2000,Arlington,Texas,"Arlington, TX",March,2000-03-01,493,56714365,98700,1347,3.4
2000,Arlington,Texas,"Arlington, TX",April,2000-04-01,456,54108160,99000,1346,3.4
2000,Arlington,Texas,"Arlington, TX",May,2000-05-01,498,58688050,103000,1360,3.4
2000,Arlington,Texas,"Arlington, TX",June,2000-06-01,491,61753364,107900,1421,3.5
2000,Arlington,Texas,"Arlington, TX",July,2000-07-01,446,54540495,105800,1434,3.6
2000,Arlington,Texas,"Arlington, TX",August,2000-08-01,507,60875199,103400,1417,3.5
2000,Arlington,Texas,"Arlington, TX",September,2000-09-01,407,52509988,110500,1418,3.5
2000,Arlington,Texas,"Arlington, TX",October,2000-10-01,392,48300376,104100,1418,3.4
2000,Arlington,Texas,"Arlington, TX",November,2000-11-01,338,41776960,107700,1370,3.3
2000,Arlington,Texas,"Arlington, TX",December,2000-12-01,363,46705325,105700,1306,3.2
2000,Austin,Texas,"Austin, TX",January,2000-01-01,1025,173053635,133700,3084,2
2000,Austin,Texas,"Austin, TX",February,2000-02-01,1277,226038438,134000,2989,2
2000,Austin,Texas,"Austin, TX",March,2000-03-01,1603,298557656,136700,3042,2
2000,Austin,Texas,"Austin, TX",April,2000-04-01,1556,289197960,136900,3192,2.1
2000,Austin,Texas,"Austin, TX",May,2000-05-01,1980,393073774,144700,3617,2.3
2000,Austin,Texas,"Austin, TX",June,2000-06-01,1885,368290072,148800,3799,2.4
2000,Austin,Texas,"Austin, TX",July,2000-07-01,1818,351539312,149300,3944,2.6
2000,Austin,Texas,"Austin, TX",August,2000-08-01,1880,360255090,146300,3948,2.6
2000,Austin,Texas,"Austin, TX",September,2000-09-01,1498,292799874,148700,4058,2.6
