Date,Year,Month,Population,Personal Consumption Expenditures,psavert,Median Unemployment Time (Weeks),Unemployed
1967-07-01,1967,July,198712000,506700000000,12.6,4.5,2944000
1967-08-01,1967,August,198911000,509800000000,12.6,4.7,2945000
1967-09-01,1967,September,199113000,515600000000,11.9,4.6,2958000
1967-10-01,1967,October,199311000,512200000000.00006,12.9,4.9,3143000
1967-11-01,1967,November,199498000,517400000000,12.8,4.7,3066000
1967-12-01,1967,December,199657000,525100000000,11.8,4.8,3018000
1968-01-01,1968,January,199808000,530900000000,11.7,5.1,2878000
1968-02-01,1968,February,199920000,533600000000,12.3,4.5,3001000
1968-03-01,1968,March,200056000,544299999999.99994,11.7,4.1,2877000
1968-04-01,1968,April,200208000,544000000000,12.3,4.6,2709000
1968-05-01,1968,May,200361000,549800000000,12,4.4,2740000
1968-06-01,1968,June,200536000,556300000000,11.7,4.4,2938000
1968-07-01,1968,July,200706000,563200000000,10.7,4.5,2883000
1968-08-01,1968,August,200898000,567000000000,10.5,4.2,2768000
1968-09-01,1968,September,201095000,568200000000,10.6,4.6,2686000
1968-10-01,1968,October,201290000,571600000000,10.8,4.8,2689000
1968-11-01,1968,November,201466000,576700000000,10.6,4.4,2715000
1968-12-01,1968,December,201621000,576500000000,11.1,4.4,2685000
1969-01-01,1969,January,201760000,583500000000,10.3,4.4,2718000
1969-02-01,1969,February,201881000,588700000000,9.7,4.9,2692000
1969-03-01,1969,March,202023000,588900000000,10.2,4,2712000
1969-04-01,1969,April,202161000,593900000000,9.7,4,2758000
1969-05-01,1969,May,202331000,600300000000,10.1,4.2,2713000
1969-06-01,1969,June,202507000,600900000000,11.1,4.4,2816000
1969-07-01,1969,July,202677000,602700000000,11.8,4.4,2868000
1969-08-01,1969,August,202877000,609900000000,11.5,4.4,2856000
1969-09-01,1969,September,203090000,613200000000,11.6,4.7,3040000
1969-10-01,1969,October,203302000,618500000000,11.4,4.5,3049000
1969-11-01,1969,November,203500000,620500000000,11.6,4.8,2856000
1969-12-01,1969,December,203675000,622800000000,11.8,4.6,2884000
1970-01-01,1970,January,203849000,628700000000,11.8,4.6,3201000
1970-02-01,1970,February,204008000,634000000000,11.7,4.5,3453000
1970-03-01,1970,March,204156000,632300000000,12.4,4.6,3635000
1970-04-01,1970,April,204401000,636000000000,13.3,4.1,3797000
1970-05-01,1970,May,204607000,642400000000,12.4,4.7,3919000
1970-06-01,1970,June,204830000,646300000000,12.3,4.9,4071000
1970-07-01,1970,July,205052000,648500000000,13.5,5.1,4175000
1970-08-01,1970,August,205295000,652900000000,13.4,5.4,4256000
1970-09-01,1970,September,205540000,659100000000,12.9,5.2,4456000
1970-10-01,1970,October,205788000,658300000000,13.1,5.2,4591000
1970-11-01,1970,November,206024000,656600000000,13.6,5.6,4898000
1970-12-01,1970,December,206238000,665600000000,13.2,5.9,5076000
1971-01-01,1971,January,206466000,676100000000,13.3,6.2,4986000
1971-02-01,1971,February,206668000,679400000000,13.3,6.3,4903000
1971-03-01,1971,March,206855000,682000000000,13.5,6.4,4987000
1971-04-01,1971,April,207065000,688800000000,13.2,6.5,4959000
1971-05-01,1971,May,207260000,691100000000,13.6,6.7,4996000
1971-06-01,1971,June,207462000,699800000000,14.7,5.7,4949000
1971-07-01,1971,July,207661000,698900000000,13.8,6.2,5035000
1971-08-01,1971,August,207881000,704900000000,13.6,6.4,5134000
1971-09-01,1971,September,208114000,713000000000,13.3,5.8,5042000
1971-10-01,1971,October,208345000,715800000000,13.3,6.5,4954000
1971-11-01,1971,November,208555000,720900000000,13.1,6.4,5161000
1971-12-01,1971,December,208740000,728400000000,13,6.2,5154000
1972-01-01,1972,January,208917000,731500000000,12.5,6.2,5019000
1972-02-01,1972,February,209061000,736200000000,12.8,6.6,4928000
1972-03-01,1972,March,209212000,749200000000,11.8,6.6,5038000
1972-04-01,1972,April,209386000,752500000000,11.5,6.7,4959000
1972-05-01,1972,May,209545000,758000000000,11.7,6.6,4922000
1972-06-01,1972,June,209725000,761600000000,11.7,5.4,4923000
1972-07-01,1972,July,209896000,769900000000,11.7,6.1,4913000
1972-08-01,1972,August,210075000,776300000000,12,6,4939000
1972-09-01,1972,September,210278000,781100000000,12.2,5.6,4849000
1972-10-01,1972,October,210479000,794900000000,13,5.7,4875000
1972-11-01,1972,November,210656000,800500000000,13.6,5.7,4602000
1972-12-01,1972,December,210821000,806100000000,13.7,6.1,4543000
1973-01-01,1973,January,210985000,816500000000,12.4,5.7,4326000
1973-02-01,1973,February,211120000,825800000000,12.5,5.2,4452000
1973-03-01,1973,March,211254000,832800000000,12.7,5.5,4394000
1973-04-01,1973,April,211420000,835700000000,13.2,5,4459000
1973-05-01,1973,May,211577000,841600000000,13.2,4.9,4329000
1973-06-01,1973,June,211746000,844300000000,13.6,5,4363000
1973-07-01,1973,July,211909000,854100000000,13.2,5.2,4305000
1973-08-01,1973,August,212092000,853300000000,13.9,4.9,4305000
1973-09-01,1973,September,212289000,869200000000,13.1,5.4,4350000
1973-10-01,1973,October,212475000,868200000000,14.4,5.5,4144000
1973-11-01,1973,November,212634000,876900000000,14.4,5.1,4396000
1973-12-01,1973,December,212785000,876600000000,14.8,4.7,4489000
1974-01-01,1974,January,212932000,884500000000,14.3,5,4644000
1974-02-01,1974,February,213074000,889700000000,14.2,5.1,4731000
1974-03-01,1974,March,213211000,901400000000,13.4,4.8,4634000
1974-04-01,1974,April,213361000,910800000000,13.1,5,4618000
1974-05-01,1974,May,213513000,922400000000,12.8,4.6,4705000
1974-06-01,1974,June,213686000,928000000000,12.8,5.3,4927000
